fips_code,February,March,April,May,June,July,August,September,October,November
47083.0,0.0,1.0,5.0,8.0,12.0,54.0,93.0,243.0,392.0,523.0
47085.0,0.0,2.0,10.0,13.0,22.0,99.0,168.0,268.0,471.0,578.0
47087.0,0.0,0.0,7.0,17.0,26.0,105.0,217.0,335.0,422.0,598.0
47089.0,0.0,6.0,19.0,28.0,102.0,474.0,815.0,1161.0,1537.0,1892.0
47091.0,0.0,2.0,3.0,16.0,36.0,116.0,407.0,752.0,1220.0,1311.0
47093.0,0.0,66.0,228.0,375.0,967.0,3705.0,6429.0,9681.0,12561.0,15654.0
47095.0,0.0,0.0,55.0,414.0,690.0,736.0,837.0,928.0,976.0,1093.0
47097.0,0.0,0.0,21.0,56.0,119.0,411.0,725.0,1017.0,1345.0,1836.0
47099.0,0.0,2.0,17.0,31.0,124.0,444.0,762.0,1108.0,1505.0,1876.0
47101.0,0.0,2.0,2.0,3.0,6.0,47.0,132.0,211.0,358.0,640.0
47103.0,0.0,1.0,13.0,25.0,56.0,234.0,412.0,646.0,830.0,1172.0
47105.0,0.0,8.0,33.0,143.0,261.0,606.0,952.0,1226.0,1566.0,1755.0
47107.0,0.0,3.0,92.0,141.0,210.0,462.0,791.0,1176.0,1744.0,2075.0
47109.0,0.0,1.0,11.0,12.0,58.0,300.0,549.0,930.0,1170.0,1302.0
47111.0,0.0,4.0,40.0,136.0,394.0,820.0,906.0,1070.0,1390.0,1617.0
47113.0,0.0,5.0,135.0,175.0,247.0,769.0,1804.0,3063.0,3946.0,4627.0
47115.0,0.0,5.0,29.0,40.0,64.0,195.0,325.0,555.0,715.0,905.0
47117.0,0.0,1.0,22.0,31.0,71.0,258.0,533.0,791.0,1213.0,1457.0
47119.0,0.0,15.0,42.0,89.0,287.0,1010.0,1749.0,2457.0,3650.0,4819.0
47121.0,0.0,1.0,8.0,26.0,32.0,92.0,162.0,231.0,339.0,415.0
47123.0,0.0,5.0,20.0,62.0,132.0,333.0,749.0,1083.0,1546.0,1789.0
47125.0,0.0,19.0,146.0,269.0,479.0,1646.0,2475.0,3174.0,4451.0,5493.0
47127.0,0.0,0.0,3.0,3.0,7.0,42.0,93.0,188.0,286.0,311.0
47129.0,0.0,1.0,6.0,17.0,24.0,70.0,209.0,325.0,444.0,557.0
47131.0,0.0,1.0,13.0,30.0,94.0,377.0,829.0,1220.0,1883.0,2217.0
47133.0,0.0,2.0,8.0,26.0,56.0,125.0,435.0,782.0,1281.0,1398.0
47135.0,0.0,2.0,9.0,21.0,31.0,69.0,110.0,153.0,253.0,408.0
47137.0,0.0,0.0,0.0,3.0,6.0,21.0,63.0,131.0,289.0,341.0
47139.0,0.0,0.0,8.0,16.0,41.0,140.0,327.0,410.0,542.0,575.0
